field_id,rap_variable_name
p3_i0,Verbal interview duration | Instance 0
p3_i1,Verbal interview duration | Instance 1
p3_i2,Verbal interview duration | Instance 2
p3_i3,Verbal interview duration | Instance 3
p4_i0,Biometrics duration | Instance 0
p4_i1,Biometrics duration | Instance 1
p4_i2,Biometrics duration | Instance 2
p4_i3,Biometrics duration | Instance 3
p5_i0,Sample collection duration | Instance 0
p5_i1,Sample collection duration | Instance 1
p5_i2,Sample collection duration | Instance 2
p5_i3,Sample collection duration | Instance 3
p6_i0,Conclusion duration | Instance 0
p6_i1,Conclusion duration | Instance 1
p6_i2,Conclusion duration | Instance 2
p6_i3,Conclusion duration | Instance 3
p19_i0,Heel ultrasound method | Instance 0
p21_i0,Weight method | Instance 0
p21_i1,Weight method | Instance 1
p21_i2,Weight method | Instance 2
p21_i3,Weight method | Instance 3
p23_i0,Spirometry method | Instance 0
p23_i1,Spirometry method | Instance 1
p23_i2,Spirometry method | Instance 2
p23_i3,Spirometry method | Instance 3
p31,Sex
p33,Date of birth
p34,Year of birth
p35_i0,Was blood sampling attempted | Instance 0
p35_i1,Was blood sampling attempted | Instance 1
p35_i2,Was blood sampling attempted | Instance 2
p35_i3,Was blood sampling attempted | Instance 3
p36_i0,Blood pressure device ID | Instance 0
p36_i1,Blood pressure device ID | Instance 1
p36_i2,Blood pressure device ID | Instance 2
p36_i3,Blood pressure device ID | Instance 3
p37_i0,Blood pressure manual sphygmomanometer device ID | Instance 0
p37_i1,Blood pressure manual sphygmomanometer device ID | Instance 1
p37_i2,Blood pressure manual sphygmomanometer device ID | Instance 2
p37_i3,Blood pressure manual sphygmomanometer device ID | Instance 3
p38_i0,Hand grip dynamometer device ID | Instance 0
p38_i1,Hand grip dynamometer device ID | Instance 1
p38_i2,Hand grip dynamometer device ID | Instance 2
p38_i3,Hand grip dynamometer device ID | Instance 3
p39_i0,Height measure device ID | Instance 0
p39_i1,Height measure device ID | Instance 1
p39_i2,Height measure device ID | Instance 2
p39_i3,Height measure device ID | Instance 3
p40_i0,Manual scales device ID | Instance 0
p40_i1,Manual scales device ID | Instance 1
p40_i2,Manual scales device ID | Instance 2
p40_i3,Manual scales device ID | Instance 3
p41_i0,Seating box device ID | Instance 0
p41_i1,Seating box device ID | Instance 1
p41_i2,Seating box device ID | Instance 2
p41_i3,Seating box device ID | Instance 3
p42_i0,Spirometer device ID | Instance 0
p42_i1,Spirometer device ID | Instance 1
p42_i2,Spirometer device ID | Instance 2
p42_i3,Spirometer device ID | Instance 3
p43_i0,Impedance device ID | Instance 0
p43_i1,Impedance device ID | Instance 1
p43_i2,Impedance device ID | Instance 2
p43_i3,Impedance device ID | Instance 3
p44_i0,Tape measure device ID | Instance 0
p44_i1,Tape measure device ID | Instance 1
p44_i2,Tape measure device ID | Instance 2
p44_i3,Tape measure device ID | Instance 3
p45_i0,Heel ultrasound device id | Instance 0
p45_i1,Heel ultrasound device id | Instance 1
p45_i2,Heel ultrasound device id | Instance 2
p45_i3,Heel ultrasound device id | Instance 3
p46_i0,Hand grip strength (left) | Instance 0
p46_i1,Hand grip strength (left) | Instance 1
p46_i2,Hand grip strength (left) | Instance 2
p46_i3,Hand grip strength (left) | Instance 3
p47_i0,Hand grip strength (right) | Instance 0
p47_i1,Hand grip strength (right) | Instance 1
p47_i2,Hand grip strength (right) | Instance 2
p47_i3,Hand grip strength (right) | Instance 3
p48_i0,Waist circumference | Instance 0
